service_id,domain,domain_ar,subsystem_letter,subsystem,local_ref,name,priority,status,legacy_id,wave,screens
S-ADM-018,ADM,الإدارة,ج,الأجهزة,ج-5,فصل جهاز,P0,موجودة,S-ADM-010,1,
S-ADM-019,ADM,الإدارة,د,الاشتراك والفوترة,د-1,الباقات الثلاث,P0,موجودة,S-ADM-014,2,
S-ADM-020,ADM,الإدارة,د,الاشتراك والفوترة,د-2,الخطة السنوية,P0,جديدة,,2,
S-ADM-021,ADM,الإدارة,د,الاشتراك والفوترة,د-3,صفحة الاشتراك,P0,موجودة,S-ADM-016,2,
S-ADM-022,ADM,الإدارة,د,الاشتراك والفوترة,د-4,تجربة ١٤ يومًا بلا خصم تلقائي,P0,موجودة,S-ADM-038,2,
S-ADM-023,ADM,الإدارة,د,الاشتراك والفوترة,د-5,الترقية والتخفيض,P0,جديدة,,2,
S-ADM-024,ADM,الإدارة,د,الاشتراك والفوترة,د-6,استرجاع المشتريات,P0,جديدة,,2,
S-ADM-025,ADM,الإدارة,هـ,الإشعارات,هـ-1,تفضيلات الإشعارات,P0,موجودة,S-ADM-020,2,
S-ADM-026,ADM,الإدارة,هـ,الإشعارات,هـ-2,قنوات الإشعارات,P0,موجودة,S-ADM-022,2,
S-ADM-027,ADM,الإدارة,هـ,الإشعارات,هـ-3,جدولة الإشعارات,P0,موجودة,S-ADM-023,2,
S-ADM-028,ADM,الإدارة,هـ,الإشعارات,هـ-4,ثلاث درجات إلحاح,P0,جديدة,,2,
S-ADM-029,ADM,الإدارة,هـ,الإشعارات,هـ-5,ملخص بدل تكرار,P0,جديدة,,2,
S-ADM-030,ADM,الإدارة,و,الخصوصية والبيانات,و-1,إعدادات الخصوصية,P0,موجودة,S-ADM-026,2,
S-ADM-031,ADM,الإدارة,و,الخصوصية والبيانات,و-2,خصوصية الطفل,P0,موجودة,S-ADM-028,2,
S-ADM-032,ADM,الإدارة,و,الخصوصية والبيانات,و-3,تصدير وحذف البيانات,P0,موجودة,S-ADM-029,2,
S-ADM-033,ADM,الإدارة,و,الخصوصية والبيانات,و-4,لوحة تحكم العقل,P0,قاعدة حاكمة,,2,
S-ADM-034,ADM,الإدارة,و,الخصوصية والبيانات,و-5,سجل التدقيق,P0,جديدة,,2,
S-ADM-035,ADM,الإدارة,و,الخصوصية والبيانات,و-6,شاشة «ماذا يُجمع عني» للابن,P0,قاعدة حاكمة,,2,
S-ADM-036,ADM,الإدارة,ز,لوحة اليوم,ز-1,لوحة اليوم,P0,موجودة,S-ADM-033,1,
S-ADM-037,ADM,الإدارة,ز,لوحة اليوم,ز-2,جدول المدرسة,P0,موجودة,S-ADM-035,1,
S-ADM-038,ADM,الإدارة,ز,لوحة اليوم,ز-3,بطاقة لكل ابن,P0,جديدة,,1,
S-ADM-039,ADM,الإدارة,ز,لوحة اليوم,ز-4,اقتراحات العقل اليوم,P0,جديدة,,1,
S-ADM-040,ADM,الإدارة,ح,الإعدادات والدعم,ح-1,اللغة,P0,موجودة,S-ADM-027,2,
S-ADM-041,ADM,الإدارة,ح,الإعدادات والدعم,ح-2,مركز المساعدة بالعربية,P0,جديدة,,2,
S-ADM-042,ADM,الإدارة,ح,الإعدادات والدعم,ح-3,التواصل مع الدعم,P1,جديدة,,2,
